net_receive	host_cpu	sensor_count	timestamp	memory%	net_send	memory_active_anon%	container_cpu%	host_moving_avg_cpu	name	memory_rss%
258.362	1.14	206	2018-08-17T14:22:23.904057668Z	76.62	26.872	38.06	1.13	4.09	cassandra-001	38.06
522.671	1.13	207	2018-08-17T14:22:30.910564527Z	76.62	50.429	38.06	20.58	4.12	cassandra-001	38.06
256.454	20.58	208	2018-08-17T14:22:37.916786719Z	76.61	20.72	38.06	1.0	7.36	cassandra-001	38.06
261.474	1.0	209	2018-08-17T14:22:44.925042712Z	76.62	22.528	38.06	1.04	4.37	cassandra-001	38.06
525.603	1.04	209	2018-08-17T14:22:51.932388502Z	76.62	49.372	38.06	1.07	4.34	cassandra-001	38.06
264.234	1.07	210	2018-08-17T14:22:58.939302097Z	76.62	26.289	38.06	1.13	4.33	cassandra-001	38.06
528.298	1.13	211	2018-08-17T14:23:05.946484455Z	76.62	55.918	38.06	18.58	4.32	cassandra-001	38.06
263.931	18.58	211	2018-08-17T14:23:12.95406379Z	76.62	24.652	38.06	1.15	7.23	cassandra-001	38.06
264.662	1.15	212	2018-08-17T14:23:19.961028729Z	76.62	30.196	38.06	1.03	3.99	cassandra-001	38.06
536.165	1.03	213	2018-08-17T14:23:26.967539651Z	76.62	59.691	38.06	1.25	4.0	cassandra-001	38.06
267.997	1.25	214	2018-08-17T14:23:33.974142225Z	76.63	25.496	38.06	1.08	4.03	cassandra-001	38.06
539.272	1.08	214	2018-08-17T14:23:40.980826761Z	76.63	55.11	38.06	21.88	4.04	cassandra-001	38.06
274.341	21.88	215	2018-08-17T14:23:47.987173991Z	76.63	30.01	38.06	1.18	7.49	cassandra-001	38.06
264.95	1.18	216	2018-08-17T14:23:54.994511552Z	76.63	22.221	38.06	2.05	4.59	cassandra-001	38.06
540.517	2.05	216	2018-08-17T14:24:02.000855374Z	76.64	42.872	38.06	1.03	4.74	cassandra-001	38.06
266.705	1.03	217	2018-08-17T14:24:09.00882992Z	76.63	23.528	38.06	1.5	4.74	cassandra-001	38.06
544.428	1.5	218	2018-08-17T14:24:16.017099747Z	76.64	49.418	38.06	23.95	4.79	cassandra-001	38.06
275.721	23.95	218	2018-08-17T14:24:23.026796663Z	76.64	26.748	38.06	1.26	8.6	cassandra-001	38.06
276.118	1.26	219	2018-08-17T14:24:30.034215969Z	76.64	28.107	38.06	1.08	5.16	cassandra-001	38.06
555.847	1.08	220	2018-08-17T14:24:37.041657037Z	76.64	59.752	38.06	1.34	5.14	cassandra-001	38.06
277.193	1.34	221	2018-08-17T14:24:44.054505769Z	76.64	28.978	38.06	1.26	5.03	cassandra-001	38.06
554.591	1.26	221	2018-08-17T14:24:51.062455346Z	76.65	57.19	38.06	19.6	5.06	cassandra-001	38.06
277.721	19.6	222	2018-08-17T14:24:58.069761378Z	76.64	26.667	38.06	1.08	8.08	cassandra-001	38.06
278.894	1.08	223	2018-08-17T14:25:05.076261037Z	76.65	25.136	38.06	1.04	4.27	cassandra-001	38.06
561.605	1.04	223	2018-08-17T14:25:12.084430796Z	76.65	56.436	38.05	1.13	4.23	cassandra-001	38.06
282.769	1.13	224	2018-08-17T14:25:19.091499517Z	76.65	30.508	38.06	1.23	4.24	cassandra-001	38.06
569.731	1.23	225	2018-08-17T14:25:26.103213883Z	76.65	60.579	38.06	19.33	4.22	cassandra-001	38.06
283.335	19.33	225	2018-08-17T14:25:33.11202356Z	76.66	28.844	38.06	1.21	7.23	cassandra-001	38.06
432.942	1.21	226	2018-08-17T14:25:40.120696511Z	76.65	44.493	38.06	10.6	4.17	cassandra-001	38.06
418.617	10.6	227	2018-08-17T14:25:47.127479349Z	76.65	44.401	38.06	1.05	5.76	cassandra-001	38.06
284.479	1.05	227	2018-08-17T14:25:54.133768235Z	76.66	29.292	38.06	1.16	5.76	cassandra-001	38.06
579.005	1.16	228	2018-08-17T14:26:01.139340694Z	76.66	62.477	38.06	7.85	5.76	cassandra-001	38.06
287.597	7.85	229	2018-08-17T14:26:08.147749065Z	76.66	25.886	38.06	1.13	6.87	cassandra-001	38.06
520.166	1.13	229	2018-08-17T14:26:15.155426001Z	76.66	38.734	38.06	17.4	3.83	cassandra-001	38.06
334.405	17.4	230	2018-08-17T14:26:22.163587017Z	76.67	30.594	38.06	1.08	6.53	cassandra-001	38.06
287.122	1.08	231	2018-08-17T14:26:29.171570133Z	76.66	25.449	38.06	1.2	4.94	cassandra-001	38.06
588.111	1.2	231	2018-08-17T14:26:36.177617461Z	76.67	59.822	38.06	2.97	4.97	cassandra-001	38.06
293.387	2.97	232	2018-08-17T14:26:43.184005643Z	76.67	30.716	38.06	1.14	5.27	cassandra-001	38.06
594.998	1.14	233	2018-08-17T14:26:50.192755846Z	76.67	66.566	38.06	20.46	4.15	cassandra-001	38.06
